Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/products/{id},23,9,7,26,3.82,0.000%,.00347,0.00,0.00,396.1
POST /api/auth/login,14,9,8,12,0.98,0.000%,.00206,0.00,0.00,350.0
GET /api/reports/sales,16,2493,2190,2528,78.43,6.250%,.00231,0.00,0.00,1561.9
GET /api/products,10,10,8,18,2.79,0.000%,.00141,0.00,0.00,2314.0
GET /api/health,7,3,3,5,0.88,0.000%,.00102,0.00,0.00,233.0
GET /api/orders/{id},18,9,8,13,1.15,0.000%,.00254,0.00,0.00,353.7
GET /api/auth/profile,11,3,2,7,1.37,27.273%,.00173,0.00,0.00,221.3
GET /api/reports/slow,14,3004,3003,3010,2.32,0.000%,.00212,0.00,0.00,257.0
POST /api/orders,8,11,10,13,1.12,0.000%,.00122,0.00,0.00,228.4
POST /api/reports/generate,6,5003,3004,7006,1291.38,0.000%,.00094,0.00,0.00,275.0
TOTAL,127,887,2,7006,1500.79,3.150%,.01774,0.01,0.00,627.1
