Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/products/{id},134,12,10,18,21,35,6,39,0.000%,.00557,0.00,0.00
POST /api/auth/login,79,12,10,19,20,33,8,35,0.000%,.00328,0.00,0.00
GET /api/reports/sales,88,2515,2516,2531,2535,2548,2190,2552,1.136%,.00367,0.01,0.00
GET /api/products,57,13,11,19,19,23,7,39,0.000%,.00238,0.01,0.00
GET /api/health,41,5,4,10,12,19,2,19,0.000%,.00172,0.00,0.00
GET /api/orders/{id},107,12,11,18,22,31,7,33,0.000%,.00446,0.00,0.00
GET /api/auth/profile,66,6,4,11,12,13,2,14,19.697%,.00276,0.00,0.00
GET /api/reports/slow,82,3006,3005,3014,3016,3018,3002,3018,0.000%,.00344,0.00,0.00
POST /api/orders,45,14,12,20,22,36,8,36,0.000%,.00195,0.00,0.00
POST /api/reports/generate,36,4894,5004,7003,7009,7014,3002,7014,0.000%,.00153,0.00,0.00
TOTAL,735,884,12,3005,3014,6005,2,7014,1.905%,.03047,0.02,0.00
